timestamp,age,gender,country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
2014-08-27 11:33:23,42,female,united states,ca,no,yes,yes,sometimes,26-100,no,no,yes,yes,no,no,maybe,somewhat difficult,yes,yes,yes,yes,maybe,maybe,no,yes
2014-08-27 11:33:26,36,male,united states,ct,no,yes,no,never,500-1000,no,yes,maybe,not sure,no,maybe,maybe,don't know,no,no,yes,yes,no,no,maybe,no
2014-08-27 11:33:57,27,male,canada,unknown,no,no,no,never,6-25,no,yes,maybe,not sure,maybe,maybe,maybe,somewhat easy,no,no,some of them,some of them,maybe,yes,yes,no
2014-08-27 11:34:00,29,female,united states,il,no,yes,yes,rarely,26-100,no,yes,yes,not sure,no,no,maybe,somewhat easy,no,no,yes,some of them,maybe,maybe,maybe,no
2014-08-27 11:34:20,23,male,united kingdom,unknown,no,no,yes,sometimes,26-100,yes,yes,maybe,no,maybe,maybe,maybe,very easy,maybe,no,some of them,no,maybe,maybe,no,no
2014-08-27 11:34:37,32,male,united states,tn,no,no,yes,sometimes,6-25,no,yes,yes,yes,no,maybe,maybe,don't know,maybe,no,some of them,yes,no,no,no,no
2014-08-27 11:34:53,46,male,united states,md,yes,yes,no,sometimes,1-5,yes,yes,yes,not sure,yes,maybe,yes,very easy,no,no,yes,yes,no,yes,yes,yes
2014-08-27 11:35:08,36,male,france,unknown,yes,yes,no,don't know,6-25,yes,yes,no,no,yes,no,yes,somewhat easy,no,no,some of them,some of them,maybe,maybe,maybe,no
2014-08-27 11:35:12,29,male,united states,ny,no,yes,yes,sometimes,100-500,no,yes,yes,yes,no,no,no,somewhat difficult,maybe,no,some of them,some of them,no,no,no,no
2014-08-27 11:35:24,31,male,united states,nc,yes,no,no,never,1-5,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,some of them,some of them,no,maybe,yes,no
2014-08-27 11:35:48,46,male,united states,ma,no,no,yes,often,26-100,yes,yes,yes,yes,no,no,maybe,don't know,maybe,no,some of them,yes,no,maybe,no,no
2014-08-27 11:36:24,41,male,united states,ia,no,no,yes,never,more than 1000,no,no,maybe,no,no,maybe,maybe,don't know,maybe,no,no,no,no,yes,maybe,no
2014-08-27 11:36:48,33,male,united states,ca,no,yes,yes,rarely,26-100,no,yes,yes,not sure,maybe,yes,yes,don't know,no,no,yes,yes,no,yes,maybe,no
2014-08-27 11:37:08,35,male,united states,tn,no,yes,yes,sometimes,more than 1000,no,no,yes,yes,no,maybe,no,very easy,yes,no,some of them,yes,no,yes,no,no
2014-08-27 11:37:23,33,male,united states,tn,no,no,no,don't know,1-5,no,yes,maybe,not sure,no,maybe,maybe,don't know,maybe,maybe,some of them,no,no,no,maybe,no
2014-08-27 11:37:59,35,female,united states,ca,no,yes,yes,rarely,6-25,yes,yes,yes,yes,maybe,maybe,maybe,don't know,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 11:38:12,34,male,united states,oh,no,no,yes,sometimes,26-100,yes,yes,maybe,not sure,no,maybe,maybe,somewhat difficult,no,no,some of them,no,no,no,no,no
2014-08-27 11:38:18,37,male,united kingdom,unknown,no,no,no,sometimes,6-25,no,yes,no,no,no,no,maybe,very difficult,yes,maybe,some of them,no,no,maybe,no,no
2014-08-27 11:39:03,32,male,united kingdom,unknown,no,no,no,never,6-25,yes,yes,no,no,no,no,maybe,don't know,yes,yes,some of them,some of them,no,maybe,no,no
2014-08-27 11:38:55,31,male,united states,pa,yes,yes,no,rarely,1-5,yes,yes,no,yes,no,no,maybe,somewhat difficult,yes,no,no,no,no,no,no,yes
2014-08-27 11:39:31,30,male,united kingdom,unknown,no,yes,yes,sometimes,500-1000,yes,yes,maybe,no,no,no,yes,somewhat easy,maybe,no,some of them,yes,no,yes,maybe,no
2014-08-27 11:39:36,42,male,united states,wa,no,yes,yes,sometimes,26-100,yes,yes,yes,yes,yes,yes,yes,very easy,maybe,no,some of them,some of them,maybe,yes,maybe,no
2014-08-27 11:40:51,40,female,united states,wi,no,no,yes,sometimes,1-5,no,yes,yes,yes,no,no,maybe,don't know,maybe,no,some of them,no,no,maybe,yes,no
2014-08-27 11:41:17,27,male,united states,ny,no,no,yes,rarely,6-25,no,yes,no,yes,no,no,maybe,very easy,no,no,yes,yes,maybe,maybe,maybe,no
2014-08-27 11:41:37,29,male,canada,unknown,no,no,no,rarely,1-5,no,yes,no,no,no,no,maybe,very easy,yes,maybe,some of them,no,no,no,maybe,no
2014-08-27 11:41:50,38,male,portugal,unknown,no,no,no,don't know,100-500,no,yes,no,yes,no,no,maybe,somewhat easy,maybe,no,some of them,some of them,no,maybe,no,no
2014-08-27 11:42:08,50,male,united states,in,no,no,no,don't know,100-500,no,yes,yes,yes,no,maybe,maybe,don't know,no,no,some of them,yes,no,maybe,maybe,no
2014-08-27 11:42:15,35,male,united states,tx,no,no,yes,rarely,more than 1000,yes,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 11:42:25,24,male,united kingdom,unknown,no,no,yes,sometimes,6-25,no,yes,no,no,no,no,maybe,don't know,maybe,maybe,some of them,no,no,yes,no,yes
2014-08-27 11:42:31,35,male,united states,mi,no,no,no,don't know,more than 1000,yes,yes,yes,not sure,maybe,yes,maybe,somewhat difficult,yes,yes,some of them,no,no,maybe,maybe,no
2014-08-27 11:43:07,27,male,canada,unknown,no,yes,yes,sometimes,1-5,no,yes,no,yes,no,no,yes,very difficult,maybe,no,some of them,no,no,no,yes,no
2014-08-27 11:43:10,18,male,netherlands,unknown,no,no,no,often,6-25,no,yes,no,not sure,no,no,maybe,somewhat difficult,yes,maybe,no,some of them,no,no,no,no
2014-08-27 11:43:22,30,male,united states,in,no,no,yes,sometimes,26-100,no,yes,maybe,no,no,no,maybe,don't know,no,no,no,no,no,maybe,maybe,no
2014-08-27 11:43:36,38,female,united states,tx,no,yes,yes,sometimes,26-100,no,yes,yes,yes,no,yes,yes,somewhat easy,no,no,some of them,yes,no,no,yes,no
2014-08-27 11:43:45,28,male,united kingdom,unknown,no,no,no,don't know,26-100,no,yes,maybe,not sure,no,no,maybe,don't know,no,maybe,some of them,yes,maybe,yes,maybe,no
2014-08-27 11:43:48,34,male,united states,tn,no,no,no,don't know,6-25,no,yes,no,no,no,no,maybe,don't know,no,no,yes,yes,maybe,yes,maybe,no
2014-08-27 11:43:56,26,male,canada,unknown,yes,no,no,sometimes,1-5,no,yes,no,yes,yes,no,maybe,don't know,no,no,yes,yes,no,no,yes,no
2014-08-27 11:44:43,30,male,united states,il,no,yes,yes,rarely,26-100,no,yes,yes,no,no,maybe,maybe,don't know,maybe,no,some of them,yes,no,no,maybe,no
2014-08-27 11:44:55,22,male,united states,tx,no,yes,yes,often,6-25,no,yes,no,yes,no,no,yes,very difficult,maybe,no,no,no,no,maybe,maybe,no
2014-08-27 11:45:32,33,male,united states,ut,no,no,no,don't know,100-500,yes,yes,maybe,not sure,maybe,maybe,maybe,don't know,no,no,some of them,yes,maybe,maybe,maybe,no
2014-08-27 11:45:33,31,male,united states,unknown,no,no,no,don't know,100-500,yes,yes,maybe,no,maybe,maybe,maybe,don't know,maybe,maybe,some of them,some of them,maybe,maybe,maybe,no
2014-08-27 11:45:51,32,male,united states,tn,no,no,no,never,1-5,yes,yes,maybe,not sure,no,no,maybe,don't know,maybe,no,some of them,yes,no,no,maybe,no
2014-08-27 11:46:36,28,male,switzerland,unknown,no,no,no,don't know,100-500,no,yes,no,no,no,no,maybe,don't know,no,no,no,no,no,maybe,maybe,no
2014-08-27 11:46:49,27,male,united states,ny,no,yes,yes,rarely,26-100,no,yes,yes,yes,no,no,yes,don't know,maybe,no,no,no,no,no,maybe,no
2014-08-27 11:46:55,32,male,united states,tn,no,yes,no,don't know,6-25,yes,yes,maybe,no,no,no,maybe,somewhat easy,no,no,yes,yes,no,no,yes,no
2014-08-27 11:47:10,24,male,united states,ny,no,yes,yes,sometimes,26-100,yes,yes,maybe,no,no,no,maybe,don't know,no,maybe,some of them,yes,yes,yes,no,no
2014-08-27 11:47:33,26,male,united states,tn,no,no,no,don't know,26-100,no,no,no,no,no,no,yes,somewhat easy,no,no,some of them,yes,maybe,yes,maybe,no
2014-08-27 11:47:56,33,male,canada,unknown,no,yes,yes,often,6-25,yes,yes,maybe,no,no,no,no,somewhat difficult,yes,no,no,no,no,maybe,maybe,no
2014-08-27 11:48:57,44,male,united states,ia,no,yes,yes,sometimes,more than 1000,no,no,yes,no,no,maybe,maybe,don't know,yes,maybe,some of them,no,no,maybe,maybe,yes
2014-08-27 11:49:51,26,female,poland,unknown,no,no,yes,sometimes,26-100,yes,yes,maybe,not sure,yes,yes,yes,very easy,no,no,yes,yes,maybe,yes,yes,no
2014-08-27 11:50:27,27,male,united kingdom,unknown,no,no,no,never,100-500,no,yes,yes,not sure,no,yes,maybe,somewhat easy,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 11:50:28,26,male,france,unknown,no,no,no,don't know,26-100,no,yes,no,no,no,no,maybe,very easy,yes,no,no,no,no,no,no,yes
2014-08-27 11:50:46,35,male,canada,unknown,no,no,no,sometimes,6-25,no,yes,maybe,no,no,no,maybe,somewhat easy,no,no,some of them,yes,no,maybe,maybe,no
2014-08-27 11:51:07,40,male,united states,ca,no,yes,no,sometimes,more than 1000,yes,yes,yes,yes,yes,yes,maybe,don't know,yes,maybe,some of them,no,no,no,no,yes
2014-08-27 11:51:34,23,female,australia,unknown,no,yes,yes,often,1-5,yes,yes,no,not sure,no,no,maybe,very easy,no,no,some of them,yes,no,maybe,yes,no
2014-08-27 11:52:07,36,male,united states,tx,no,no,no,sometimes,100-500,yes,yes,yes,no,maybe,yes,maybe,don't know,maybe,no,some of them,some of them,maybe,yes,yes,no
2014-08-27 11:52:41,31,female,united states,nm,no,no,no,don't know,26-100,yes,no,maybe,no,maybe,maybe,maybe,don't know,maybe,no,some of them,no,no,maybe,maybe,no
2014-08-27 11:52:44,34,male,united states,ny,yes,no,no,rarely,1-5,yes,yes,no,no,no,no,maybe,don't know,maybe,no,some of them,no,no,no,maybe,no
2014-08-27 11:53:05,28,male,france,unknown,no,no,no,never,26-100,no,yes,no,no,no,no,maybe,don't know,maybe,no,some of them,some of them,no,no,maybe,no
2014-08-27 11:53:25,34,male,canada,unknown,no,no,no,never,6-25,no,yes,maybe,not sure,maybe,maybe,maybe,somewhat easy,no,no,some of them,yes,no,no,maybe,no
2014-08-27 11:54:27,23,other,united states,ma,no,no,no,rarely,more than 1000,no,yes,yes,yes,no,no,yes,somewhat difficult,maybe,no,yes,yes,no,no,no,no
2014-08-27 11:56:17,38,male,united kingdom,unknown,no,no,no,don't know,26-100,no,yes,no,no,no,maybe,yes,somewhat easy,no,no,some of them,yes,maybe,yes,yes,no
2014-08-27 11:56:29,33,male,united states,ca,no,no,no,never,more than 1000,no,yes,maybe,not sure,yes,maybe,maybe,don't know,maybe,no,some of them,some of them,no,maybe,yes,no
2014-08-27 11:57:30,19,male,united kingdom,unknown,no,no,no,don't know,1-5,no,yes,no,yes,no,no,no,somewhat difficult,yes,no,no,no,no,maybe,no,no
2014-08-27 11:57:33,25,male,united states,wa,no,no,no,don't know,more than 1000,yes,yes,yes,yes,yes,yes,maybe,don't know,no,no,yes,yes,maybe,yes,yes,no
2014-08-27 11:57:54,31,male,united states,wa,yes,yes,no,sometimes,1-5,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 11:59:31,32,male,united states,ut,no,yes,yes,sometimes,26-100,yes,yes,no,no,no,no,maybe,somewhat difficult,yes,no,some of them,no,no,yes,no,no
2014-08-27 12:00:02,28,male,germany,unknown,no,no,no,never,6-25,yes,yes,maybe,no,maybe,maybe,maybe,very easy,no,no,some of them,some of them,maybe,yes,yes,no
2014-08-27 12:01:50,38,male,united states,ny,no,yes,no,sometimes,100-500,yes,yes,yes,yes,no,yes,maybe,don't know,no,no,yes,some of them,maybe,maybe,yes,no
2014-08-27 12:02:40,23,male,united kingdom,unknown,no,no,no,never,26-100,no,yes,yes,not sure,yes,maybe,maybe,very easy,no,no,some of them,yes,maybe,maybe,yes,no
2014-08-27 12:02:52,30,male,canada,unknown,no,no,no,never,26-100,no,no,no,no,no,no,maybe,don't know,no,no,some of them,yes,no,no,no,no
2014-08-27 12:03:30,27,female,united states,ny,yes,no,yes,often,1-5,yes,yes,yes,yes,yes,yes,yes,very easy,maybe,maybe,some of them,yes,no,maybe,yes,no
2014-08-27 12:05:13,33,male,united states,ca,no,yes,no,never,more than 1000,no,yes,no,no,no,no,maybe,don't know,yes,no,no,no,no,maybe,no,no
2014-08-27 12:05:37,31,male,united states,tx,no,no,no,don't know,26-100,no,yes,maybe,not sure,no,no,maybe,don't know,no,no,some of them,yes,maybe,maybe,no,no
2014-08-27 12:07:08,39,male,united kingdom,unknown,yes,no,yes,often,6-25,no,yes,no,no,no,no,maybe,very difficult,maybe,no,some of them,no,no,maybe,no,yes
2014-08-27 12:10:43,34,female,united states,or,no,yes,yes,rarely,500-1000,yes,yes,yes,not sure,no,maybe,maybe,don't know,yes,maybe,some of them,some of them,no,no,maybe,no
2014-08-27 12:11:00,29,female,united states,fl,no,no,yes,sometimes,26-100,no,yes,yes,yes,no,no,maybe,don't know,maybe,no,some of them,some of them,no,maybe,no,yes
2014-08-27 12:11:07,32,male,united states,il,no,no,no,don't know,500-1000,no,yes,maybe,no,no,maybe,maybe,don't know,no,no,some of them,some of them,no,no,maybe,no
2014-08-27 12:12:47,31,male,united states,ny,no,no,no,never,500-1000,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,some of them,yes,no,no,yes,no
2014-08-27 12:13:30,40,male,united states,tx,no,no,yes,sometimes,26-100,no,yes,no,yes,no,no,yes,very difficult,no,no,yes,yes,yes,yes,no,no
2014-08-27 12:14:13,34,male,united states,oh,no,no,no,don't know,26-100,no,yes,maybe,no,no,no,maybe,somewhat easy,maybe,no,some of them,no,no,maybe,maybe,no
2014-08-27 12:15:11,18,other,russia,unknown,no,no,no,don't know,26-100,yes,yes,yes,yes,no,no,yes,somewhat easy,no,no,yes,yes,yes,yes,maybe,no
2014-08-27 12:15:19,25,female,canada,unknown,no,no,yes,sometimes,26-100,no,yes,yes,yes,no,maybe,maybe,don't know,maybe,no,some of them,yes,no,maybe,maybe,no
2014-08-27 12:15:30,29,male,united states,mn,no,no,no,never,26-100,no,yes,maybe,no,no,maybe,maybe,don't know,no,no,yes,yes,maybe,maybe,no,no
2014-08-27 12:16:21,24,male,united states,mo,no,yes,no,rarely,26-100,no,yes,maybe,not sure,no,maybe,maybe,somewhat easy,maybe,maybe,some of them,no,no,maybe,maybe,no
2014-08-27 12:17:01,31,male,mexico,unknown,no,yes,yes,sometimes,6-25,no,yes,maybe,no,no,no,maybe,don't know,no,no,some of them,yes,maybe,yes,no,no
2014-08-27 12:18:02,33,male,united states,az,no,no,yes,sometimes,6-25,no,yes,no,yes,no,no,maybe,somewhat easy,maybe,no,some of them,no,no,maybe,no,no
2014-08-27 12:18:04,30,male,united states,in,no,no,yes,often,1-5,no,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 12:18:14,26,female,canada,unknown,no,yes,yes,sometimes,26-100,no,no,no,yes,no,no,no,very difficult,yes,no,no,no,no,maybe,no,yes
2014-08-27 12:18:38,44,female,united states,ma,no,no,no,never,100-500,no,yes,yes,not sure,maybe,maybe,maybe,don't know,maybe,maybe,no,some of them,no,no,maybe,no
2014-08-27 12:19:52,25,male,united states,ny,no,yes,no,don't know,26-100,no,yes,maybe,no,maybe,maybe,maybe,very easy,no,no,some of them,yes,no,no,maybe,no
2014-08-27 12:20:10,33,male,united states,wi,no,yes,yes,sometimes,26-100,yes,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,some of them,yes,maybe,maybe,yes,no
2014-08-27 12:22:55,29,male,united states,ny,no,no,no,never,more than 1000,no,yes,yes,not sure,yes,maybe,maybe,somewhat easy,no,no,some of them,yes,no,no,maybe,no
2014-08-27 12:23:48,35,male,united states,mo,no,yes,no,rarely,6-25,no,yes,yes,not sure,no,no,yes,somewhat easy,no,no,some of them,yes,no,no,maybe,no
2014-08-27 12:23:59,35,male,united states,or,no,yes,yes,sometimes,26-100,yes,yes,maybe,not sure,no,no,maybe,somewhat easy,no,no,some of them,yes,no,maybe,no,no
2014-08-27 12:25:09,28,male,brazil,unknown,no,yes,yes,rarely,6-25,no,yes,no,no,no,no,no,don't know,maybe,no,yes,yes,no,no,maybe,yes
2014-08-27 12:28:12,34,male,united states,tn,no,yes,no,never,6-25,yes,yes,yes,no,no,no,maybe,don't know,maybe,no,no,no,no,no,maybe,no
2014-08-27 12:28:16,32,male,united states,wa,no,no,yes,sometimes,26-100,no,yes,yes,no,yes,yes,yes,somewhat difficult,maybe,no,some of them,yes,no,maybe,yes,no
2014-08-27 12:29:25,22,male,united states,ny,no,no,yes,sometimes,500-1000,no,yes,yes,yes,no,maybe,yes,don't know,yes,no,no,no,no,yes,no,no
2014-08-27 12:31:02,28,male,united states,ca,no,no,yes,sometimes,26-100,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,some of them,some of them,no,maybe,yes,no
2014-08-27 12:31:03,45,male,united states,mo,no,yes,yes,rarely,6-25,yes,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,yes,yes,yes,no
2014-08-27 12:31:14,32,male,united states,ny,no,no,no,never,100-500,no,yes,yes,yes,no,maybe,maybe,don't know,maybe,no,some of them,some of them,no,no,maybe,no
2014-08-27 12:31:28,28,male,united states,tx,no,no,no,don't know,more than 1000,no,yes,maybe,no,no,maybe,maybe,don't know,maybe,no,some of them,no,no,maybe,maybe,no
2014-08-27 12:31:34,26,male,united kingdom,unknown,no,no,no,never,6-25,no,yes,maybe,no,no,maybe,maybe,very easy,no,no,some of them,some of them,no,no,maybe,yes
2014-08-27 12:31:41,21,male,united kingdom,unknown,yes,no,no,often,1-5,yes,no,no,yes,no,no,yes,very difficult,yes,no,some of them,yes,no,maybe,no,no
2014-08-27 12:31:41,27,male,canada,unknown,no,no,no,rarely,6-25,no,no,yes,yes,yes,yes,yes,very easy,maybe,no,some of them,yes,no,no,maybe,no
2014-08-27 12:31:43,18,male,united states,ct,no,no,yes,rarely,1-5,yes,yes,no,no,no,no,yes,very easy,no,no,some of them,no,no,no,maybe,no
2014-08-27 12:32:24,35,male,united states,co,no,no,no,don't know,26-100,yes,yes,maybe,not sure,no,maybe,maybe,don't know,no,no,some of them,yes,maybe,maybe,maybe,no
2014-08-27 12:32:59,29,male,united states,ga,no,no,no,never,more than 1000,no,yes,yes,yes,no,yes,maybe,don't know,yes,yes,no,no,no,no,maybe,no
2014-08-27 12:33:00,25,male,united states,dc,no,no,no,don't know,26-100,yes,yes,maybe,no,no,no,maybe,very easy,no,no,some of them,yes,no,no,maybe,no
2014-08-27 12:33:23,33,male,united states,mn,no,yes,yes,sometimes,6-25,yes,yes,maybe,no,maybe,maybe,yes,very easy,no,no,yes,yes,no,maybe,yes,no
2014-08-27 12:33:36,36,male,united states,wa,no,no,no,often,6-25,no,yes,yes,no,no,no,yes,don't know,maybe,no,no,no,no,no,maybe,no
2014-08-27 12:33:56,27,male,canada,unknown,no,no,yes,never,100-500,no,no,yes,not sure,no,no,maybe,very difficult,maybe,no,some of them,yes,no,maybe,no,yes
2014-08-27 12:34:11,27,male,united states,wa,no,yes,no,never,500-1000,no,yes,yes,no,yes,yes,yes,don't know,yes,no,some of them,no,no,yes,maybe,no
2014-08-27 12:34:13,27,male,united kingdom,unknown,no,no,no,don't know,6-25,no,yes,no,no,no,no,maybe,don't know,no,no,some of them,some of them,no,no,maybe,no
2014-08-27 12:34:35,32,male,united states,or,no,no,yes,rarely,100-500,no,yes,yes,yes,no,yes,yes,don't know,yes,no,no,yes,no,no,maybe,no
2014-08-27 12:34:48,31,male,united kingdom,unknown,no,yes,no,sometimes,6-25,no,yes,no,no,no,no,maybe,somewhat easy,maybe,maybe,no,no,no,no,yes,no
2014-08-27 12:34:51,19,male,slovenia,unknown,no,no,yes,sometimes,6-25,no,yes,maybe,no,no,no,maybe,somewhat easy,yes,yes,some of them,no,no,no,maybe,no
2014-08-27 12:34:57,33,male,united states,il,no,yes,yes,sometimes,more than 1000,no,yes,yes,yes,no,no,maybe,very easy,maybe,no,yes,some of them,no,yes,no,no
2014-08-27 12:35:23,32,male,united states,ca,no,no,no,rarely,1-5,yes,yes,no,yes,no,no,maybe,very difficult,maybe,no,yes,some of them,no,yes,maybe,no
2014-08-27 12:36:03,27,male,united states,ne,no,no,no,never,26-100,no,yes,maybe,not sure,maybe,maybe,maybe,don't know,no,no,yes,yes,maybe,maybe,maybe,no
2014-08-27 12:36:18,38,male,costa rica,unknown,no,no,no,don't know,26-100,yes,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,maybe,yes,no,no
2014-08-27 12:36:53,24,male,canada,unknown,no,no,yes,never,26-100,no,yes,maybe,no,no,no,maybe,don't know,no,no,some of them,yes,maybe,yes,maybe,no
2014-08-27 12:37:09,39,male,united kingdom,unknown,no,no,no,never,26-100,no,no,no,no,no,no,maybe,don't know,yes,maybe,no,no,no,no,maybe,no
2014-08-27 12:37:26,28,male,united kingdom,unknown,no,no,no,never,6-25,no,yes,maybe,no,no,no,yes,very easy,no,no,some of them,yes,maybe,maybe,yes,no
2014-08-27 12:37:31,39,male,united states,ia,no,no,yes,often,more than 1000,no,yes,yes,not sure,no,no,maybe,somewhat easy,no,no,yes,yes,no,no,maybe,no
2014-08-27 12:37:50,29,female,united states,md,no,no,no,don't know,6-25,no,yes,maybe,no,no,maybe,maybe,somewhat easy,maybe,no,some of them,no,no,no,maybe,no
2014-08-27 12:37:50,22,male,austria,unknown,no,no,no,don't know,6-25,yes,yes,maybe,no,maybe,no,maybe,somewhat easy,no,no,some of them,some of them,no,no,maybe,no
2014-08-27 12:38:11,38,male,united states,or,no,yes,yes,sometimes,100-500,no,yes,maybe,no,maybe,maybe,maybe,don't know,maybe,no,some of them,yes,no,no,maybe,no
2014-08-27 12:38:18,37,male,united kingdom,unknown,yes,no,yes,sometimes,more than 1000,no,no,no,yes,yes,yes,yes,very difficult,yes,yes,some of them,no,no,maybe,yes,no
2014-08-27 12:38:25,35,male,united states,tx,no,no,no,never,26-100,yes,no,maybe,not sure,maybe,maybe,maybe,don't know,yes,no,some of them,no,no,maybe,maybe,no
2014-08-27 12:39:14,-29,male,united states,mn,no,no,no,don't know,more than 1000,yes,no,yes,no,maybe,yes,maybe,don't know,no,no,some of them,yes,no,no,maybe,no
2014-08-27 12:39:18,30,female,united states,pa,no,yes,no,don't know,more than 1000,yes,yes,maybe,not sure,no,maybe,maybe,don't know,maybe,maybe,some of them,some of them,no,maybe,maybe,no
2014-08-27 12:39:21,37,male,united states,in,no,yes,yes,rarely,100-500,no,no,yes,yes,yes,yes,maybe,somewhat easy,maybe,maybe,some of them,yes,maybe,maybe,maybe,no
2014-08-27 12:39:48,24,male,united kingdom,unknown,no,no,no,never,6-25,no,yes,no,no,no,no,yes,don't know,maybe,maybe,no,some of them,no,no,maybe,no
2014-08-27 12:39:57,23,male,united states,wv,no,no,no,sometimes,6-25,no,no,no,no,no,no,no,somewhat easy,yes,yes,no,no,no,no,no,no
2014-08-27 12:40:03,30,male,ireland,unknown,no,no,yes,rarely,100-500,no,yes,no,yes,yes,yes,maybe,somewhat easy,yes,no,some of them,no,no,no,no,yes
2014-08-27 12:40:06,29,female,united states,mi,no,no,no,don't know,100-500,yes,yes,maybe,not sure,no,maybe,maybe,don't know,maybe,no,no,some of them,no,maybe,maybe,no
2014-08-27 12:40:36,19,male,canada,unknown,yes,yes,no,don't know,1-5,yes,yes,maybe,not sure,no,yes,yes,somewhat easy,maybe,no,some of them,some of them,maybe,maybe,maybe,no
2014-08-27 12:40:53,32,male,united states,ca,no,yes,no,never,26-100,no,yes,maybe,not sure,no,no,maybe,very easy,no,no,some of them,some of them,no,maybe,no,no
2014-08-27 12:41:04,28,male,poland,unknown,no,no,no,rarely,6-25,yes,yes,no,no,no,no,maybe,don't know,no,no,yes,yes,maybe,yes,yes,no
2014-08-27 12:41:20,36,male,united states,il,no,no,no,never,6-25,no,yes,maybe,not sure,maybe,maybe,maybe,don't know,no,no,some of them,some of them,maybe,maybe,maybe,no
2014-08-27 12:41:59,37,male,united kingdom,unknown,no,yes,yes,rarely,more than 1000,no,no,yes,yes,yes,yes,yes,somewhat difficult,yes,maybe,some of them,no,no,yes,no,yes
2014-08-27 12:42:24,25,male,united states,il,no,yes,yes,sometimes,26-100,no,no,maybe,no,no,maybe,maybe,somewhat difficult,maybe,no,some of them,some of them,no,maybe,no,no
2014-08-27 12:42:52,27,male,united states,ca,no,yes,yes,sometimes,more than 1000,no,yes,maybe,no,no,maybe,maybe,don't know,no,no,no,some of them,no,maybe,maybe,no
2014-08-27 12:43:28,26,male,united states,ok,no,no,no,often,26-100,no,no,maybe,not sure,no,no,maybe,don't know,yes,maybe,some of them,yes,no,maybe,no,no
2014-08-27 12:43:28,27,male,united states,ut,no,no,yes,rarely,26-100,yes,yes,no,yes,no,no,maybe,somewhat difficult,maybe,no,some of them,yes,no,no,maybe,yes
